"Week","cmort","temp","humid","partic","cmort02","temp02","humid02","partic02","cmort05","temp05","humid05","partic05","cmort10","temp10","humid10","partic10","cmort25","temp25","humid25","partic25","cmort67","temp67","humid67","partic67"
1,97.85,72.38,29.2,72.72,100.35281,68.68168,61.30208,64.36143,98.14546,68.18299,50.68368,56.90229,95.08759,70.21353,52.1167,46.29997,91.89999,75.47882,56.18502,52.75234,94.52606,74.51621,56.26597,52.5692
2,104.64,67.19,67.51,49.6,99.07545,69.19056,59.73671,61.35128,97.53799,68.68496,51.03762,55.63903,94.82283,70.65572,52.36534,46.49958,91.9445,75.44925,56.21771,52.72581,94.50672,74.50792,56.2869,52.52862
3,94.36,62.94,61.42,55.68,97.79808,69.69944,58.17133,58.34112,96.93052,69.18694,51.39155,54.37576,94.55807,71.09791,52.61399,46.69919,91.989,75.41968,56.2504,52.69929,94.48738,74.49963,56.30782,52.48803
4,98.05,72.49,58.99,55.16,96.52071,70.20832,56.60596,55.33096,96.32305,69.68891,51.74548,53.1125,94.2933,71.5401,52.86263,46.8988,92.03351,75.39011,56.28308,52.67277,94.46804,74.49135,56.32874,52.44744
5,95.85,74.25,34.8,66.02,95.24335,70.7172,55.04059,52.3208,95.71558,70.19088,52.09941,51.84923,94.02854,71.98229,53.11128,47.09842,92.07801,75.36054,56.31577,52.64624,94.4487,74.48306,56.34967,52.40686
6,95.98,67.88,66.78,44.01,93.96598,71.22607,53.47522,49.31064,95.10811,70.69285,52.45334,50.58597,93.76378,72.42448,53.35992,47.29803,92.12252,75.33097,56.34846,52.61972,94.42936,74.47477,56.37059,52.36627
7,88.63,74.2,35.16,47.83,93.63627,71.11709,52.83619,47.12174,94.50928,71.25603,52.87159,49.53217,93.52614,72.82312,53.59953,47.54237,92.16665,75.30082,56.37873,52.5891,94.4098,74.46657,56.39147,52.32576
8,90.85,74.88,55.86,43.6,93.30655,71.0081,52.19717,44.93284,93.91044,71.8192,53.28985,48.47837,93.2885,73.22176,53.83914,47.78671,92.21079,75.27066,56.409,52.55848,94.39024,74.45837,56.41234,52.28524
9,92.06,64.17,52.68,24.99,92.97684,70.89911,51.55814,42.74394,93.3116,72.38238,53.7081,47.42457,93.05085,73.6204,54.07875,48.03105,92.25493,75.2405,56.43926,52.52786,94.37068,74.45017,56.43322,52.24472
10,88.75,67.09,50.94,40.41,92.64712,70.79012,50.91912,40.55504,92.71276,72.94556,54.12636,46.37077,92.81321,74.01903,54.31836,48.27538,92.29906,75.21034,56.46953,52.49724,94.35113,74.44196,56.45409,52.20421
11,94.6,78.29,32.73,51.93,92.31741,70.68113,50.28009,38.36614,92.11392,73.50873,54.54462,45.31697,92.57557,74.41767,54.55797,48.51972,92.3432,75.18019,56.4998,52.46662,94.33157,74.43376,56.47497,52.16369
12,92.86,68.07,55.73,32.26,91.67056,71.61007,52.39453,38.4843,91.69854,74.26975,54.92914,45.06585,92.36453,74.7624,54.78425,48.77973,92.3862,75.15042,56.52767,52.43172,94.31178,74.42567,56.4958,52.12326
13,98.02,86.7,37.86,73.65,91.0237,72.53901,54.50897,38.60246,91.28315,75.03076,55.31366,44.81472,92.15349,75.10713,55.01053,49.03974,92.42919,75.12065,56.55553,52.39682,94.292,74.41757,56.51663,52.08282
14,87.64,69.43,63.45,30.15,90.37685,73.46795,56.62342,38.72063,90.86777,75.79178,55.69819,44.5636,91.94246,75.45186,55.23681,49.29975,92.47219,75.09087,56.5834,52.36192,94.27221,74.40948,56.53746,52.04238
15,97.4,75.22,62.61,41.1,89.73,74.39689,58.73786,38.83879,90.45239,76.55279,56.08271,44.31248,91.73142,75.79659,55.46309,49.55976,92.51519,75.0611,56.61127,52.32702,94.25242,74.40139,56.5583,52.00194
16,83.24,77.29,65.41,41.53,89.08314,75.32583,60.8523,38.95695,90.03701,77.31381,56.46723,44.06135,91.52038,76.14132,55.68937,49.81977,92.55819,75.03133,56.63913,52.29212,94.23264,74.39329,56.57913,51.9615
17,86.6,69.96,63.21,29.46,88.88394,77.01692,60.13038,41.14497,89.69,78.20177,56.81712,44.95798,91.33546,76.43569,55.91526,50.08137,92.59924,75.00323,56.66504,52.25367,94.21261,74.38533,56.59993,51.92116
18,90.69,79.35,63.68,51.13,88.68473,78.70801,59.40847,43.333,89.343,79.08973,57.16701,45.8546,91.15055,76.73006,56.14116,50.34298,92.6403,74.97512,56.69095,52.21523,94.19259,74.37736,56.62073,51.88082
19,82.86,82.94,52.8,41.37,88.48552,80.3991,58.68655,45.52102,88.99599,79.9777,57.5169,46.75123,90.96563,77.02444,56.36705,50.60458,92.68135,74.94701,56.71686,52.17679,94.17257,74.36939,56.64153,51.84047
20,99.06,89.79,50.7,59.49,88.28631,82.09019,57.96463,47.70904,88.64899,80.86566,57.86678,47.64785,90.78071,77.31881,56.59294,50.86618,92.72241,74.91891,56.74277,52.13834,94.15255,74.36143,56.66233,51.80013
21,81,80.19,65.85,48.25,88.08711,83.78127,57.24272,49.89706,88.30198,81.75362,58.21667,48.54448,90.5958,77.61318,56.81883,51.12778,92.76346,74.8908,56.76868,52.0999,94.13253,74.35346,56.68313,51.75979
22,93.18,87.58,55.12,51.73,87.83443,84.13928,57.16609,50.79499,88.1775,82.12304,58.16742,49.64747,90.49241,77.81714,57.05235,51.51565,92.80196,74.86556,56.79296,52.05969,94.11227,74.34564,56.70391,51.71958
23,86.86,81.76,62.04,44.21,87.58176,84.49728,57.08947,51.69293,88.05302,82.49246,58.11818,50.75046,90.38903,78.02111,57.28588,51.90352,92.84045,74.84032,56.81724,52.01947,94.09201,74.33782,56.72469,51.67937
24,89.35,86.79,48.99,59.59,87.32909,84.85528,57.01285,52.59086,87.92853,82.86188,58.06893,51.85345,90.28565,78.22508,57.5194,52.29139,92.87895,74.81509,56.84151,51.97926,94.07175,74.33,56.74547,51.63916
25,87.13,87.46,55.93,60.82,87.07642,85.21328,56.93622,53.4888,87.80405,83.2313,58.01968,52.95644,90.18226,78.42904,57.75292,52.67926,92.91745,74.78985,56.86579,51.93905,94.0515,74.32218,56.76625,51.59895
26,88.39,88.21,55.28,55.01,86.82374,85.57128,56.8596,54.38673,87.67957,83.60072,57.97044,54.05943,90.07888,78.63301,57.98645,53.06713,92.95594,74.76461,56.89007,51.89883,94.03124,74.31436,56.78702,51.55875
27,85.38,83.4,62.76,50.59,87.04415,84.8116,57.30411,55.17138,87.91801,83.02609,58.24196,54.65284,90.30549,78.3838,58.10901,53.73322,92.99166,74.7428,56.913,51.85931,94.01075,74.30668,56.80779,51.51871
28,83.96,86.1,55.66,55.05,87.26455,84.05193,57.74862,55.95603,88.15645,82.45147,58.51348,55.24625,90.53209,78.13459,58.23157,54.39931,93.02737,74.72099,56.93592,51.8198,93.99027,74.29901,56.82855,51.47867
29,84.95,82.16,58.61,48,87.48495,83.29225,58.19313,56.74068,88.3949,81.87684,58.785,55.83966,90.7587,77.88539,58.35413,55.06539,93.06309,74.69918,56.95885,51.78028,93.96979,74.29134,56.84931,51.43864
30,86.81,81.31,64.73,55.37,87.70535,82.53257,58.63764,57.52533,88.63334,81.30221,59.05652,56.43307,90.9853,77.63618,58.47669,55.73148,93.0988,74.67737,56.98177,51.74076,93.9493,74.28367,56.87007,51.3986
31,85.25,78.99,60.08,64.44,87.92575,81.77289,59.08215,58.30998,88.87178,80.72759,59.32804,57.02648,91.21191,77.38697,58.59925,56.39757,93.13452,74.65556,57.0047,51.70124,93.92882,74.27599,56.89083,51.35857
32,94.72,92.56,28.69,75,88.69679,80.42564,59.95943,57.97675,89.43679,79.58937,59.57297,57.71136,91.66271,76.92989,58.57676,56.89889,93.16791,74.6367,57.02656,51.66529,93.90814,74.26846,56.91158,51.31875
33,90.96,84.5,55.63,61.46,89.46783,79.07839,60.83671,57.64353,90.00179,78.45116,59.81791,58.39623,92.11351,76.47281,58.55428,57.40022,93.2013,74.61784,57.04842,51.62935,93.88745,74.26092,56.93233,51.27892
34,87.73,76.44,58,50.04,90.23887,77.73114,61.71399,57.31031,90.5668,77.31294,60.06285,59.0811,92.56431,76.01572,58.53179,57.90155,93.23469,74.59897,57.07029,51.5934,93.86676,74.25338,56.95308,51.2391
